city_name_he;city_name_en
נווה שלום;Newe Shalom
שריגים (לי-און);Sarigim (Li-On)
אביעזר;Avi'ezer
צור הדסה;Zur Hadassa
צובה;Zova
שואבה;Sho'eva
אשתאול;Eshta'ol
בר גיורא;Bar Giyyora
קריית יערים (מוסד);Qiryat Ye'arim(Institute)
נטף;Nataf
כפר אוריה;Kefar Uriyya
מטע;Matta
רמת רזיאל;Ramat Razi'el
קריית יערים;Qiryat Ye'arim
גבעת ישעיהו;Giv'at Yesha'yahu
יד השמונה;Yad HaShemona
שדות מיכה;Sedot Mikha
שורש;Shoresh
אבן ספיר;Even Sappir
גיזו;Gizo
"נתיב הל""ה";Netiv HaLamed-He
זנוח;Zanoah
תירוש;Tirosh
טל שחר;Tal Shahar
עין נקובא;Ein Naqquba
נחושה;Nehusha
גפן;Gefen
כסלון;Kesalon
תרום;Tarum
צפרירים;Zafririm
לוזית;Luzit
בקוע;Beqoa
אבו גוש;Abu Ghosh
עין ראפה;Ein Rafa
עגור;Agur
נווה מיכאל;Newe Mikha'el
גבעת יערים;Giv'at Ye'arim
קריית ענבים;Qiryat Anavim
רמת רחל;Ramat Rahel
מוצא עילית;Moza Illit
נס הרים;Nes Harim
מחסיה;Mahseya
צרעה;Zor'a
תעוז;Ta'oz
"עין כרם-בי""ס חקלאי";En Karem-B.S.Haqla'i
נחשון;Nahshon
גבעת שמש;Giv'at Shemesh
דייר ראפאת;Deir Rafat
מבשרת ציון;Mevasseret Ziyyon
ידידה;Yedida
בית זית;Bet Zayit
איתנים;Etanim
מסילת ציון;Mesillat Ziyyon
בית שמש;Bet Shemesh
כפר זוהרים;Kefar Zoharim                                     
אדרת;Adderet
נחם;Naham
נווה אילן;Newe Ilan
עמינדב;Amminadav
בית נקופה;Bet Neqofa
הראל;Har'el
ירושלים;Jerusalem
ישעי;Yish'i
צלפון;Zelafon
בית מאיר;Bet Me'ir
מבוא ביתר;Mevo Betar
זכריה;Zekharya
מעלה החמישה;Ma'ale HaHamisha
אורה;Ora
מעיין ברוך;Ma'yan Barukh
מזרע;Mizra
בית שערים;Bet She'arim 
כסרא-סמיע;Kisra-Sumei
יבנאל;Yavne'el
שער הגולן;Sha'ar HaGolan 
עין חרוד (מאוחד);En Harod(Me'uhad)
תל יוסף;Tel Yosef
רמת דוד;Ramat Dawid
כפר חנניה;Kefar Hananya
סאג'ור;Sajur
חורפיש;Hurfeish
בית ג'ן;Beit Jann
מג'דל שמס;Majdal Shams
מעלה גמלא;Ma'ale Gamla
דבורה;Devora
נורית;Nurit
כרכום;Karkom
היוגב;HaYogev
הררית;Hararit
כפר בלום;Kefar Blum
כרם בן זמרה;Kerem Ben Zimra
יזרעאל;Yizre'el 
בלפוריה;Balfurya
מרום גולן;Merom Golan 
רמות;Ramot
כפר רופין;Kefar Ruppin
מנרה;Menara
אניעם;Ani'am
דמיידה;Demeide
אלונים;Allonim
יונתן;Yonatan
עין חרוד (איחוד);En Harod (Ihud)
כפר רוזנואלד (זרעית);Kefar Rozenwald(Zarit)
אבירים;Abbirim
כלנית;Kallanit
שורשים;Shorashim
רמות נפתלי;Ramot Naftali
אדמית;Adamit
מתת;Mattat
מרחביה (מושב);Merhavya(Moshav)
טמרה (יזרעאל);Tamra (Yizre'el)
ביר אל-מכסור;Bir El-Maksur
משהד;Meshhed
שדמות דבורה;Shadmot Devora
חולתה;Hulata
כנרת (קבוצה);Kinneret(Qevuza)
שדה אליהו;Sede Eliyyahu
ניר דוד (תל עמל);Nir Dawid (Tel Amal)
כפר כנא;Kafar Kanna
יפיע;Yafi
חניתה;Hanita
כפר החורש;Kefar HaHoresh
כפר זיתים;Kefar Zetim
דן;Dan
דלייה;Daliyya
כפר מסריק;Kefar Masaryk
דחי;Dahi
כפר גלעדי;Kefar Gil'adi
שדה אליעזר;Sede Eli'ezer
עין גב;En Gev
נאות מרדכי;Ne'ot Mordekhay
רמת ישי;Ramat Yishay
דבורייה;Daburiyya
דגניה א';Deganya Alef
חלוץ;Haluz
בית אלפא;Bet Alfa
חוסן;Hosen
מגאר;Mughar
סח'נין;Sakhnin
יעד;Ya'ad
דגניה ב';Deganya Bet
פרוד;Parod
הילה;Hilla
שבלי - אום אל-גנם;Shibli-Umm Al-Ghanam
יקנעם עילית;Yoqne'am Illit
מגן שאול;Magen Sha'ul 
כפר סאלד;Kefar Szold
שעב;Sha'ab
עין השופט;En HaShofet
ניין;Nein
שדה נחמיה;Sede Nehemya
מוקייבלה;Muqeible
כפר מצר;Kafar Misr
חמאם;Hamam
"עין הנצי""ב";En HaNaziv
כפר מנדא;Kafar Manda
עדי;Adi
פקיעין (בוקייעה);Peqi'in (Buqei'a)
מגדל העמק;Migdal HaEmeq
רומת הייב;Rumat Heib
אליפלט;Elifelet
עילוט;Ilut
ע'ג'ר;Ghajar
שייח' דנון;Sheikh Dannun
יאנוח-ג'ת;Yanuh-Jat
ריחאנייה;Reihaniyye
בית לחם הגלילית;Bet Lehem HaGelilit 
בית השיטה;Bet HaShitta
דייר אל-אסד;Deir Al-Asad
לוחמי הגיטאות;Lohame HaGeta'ot 
רמת מגשימים;Ramat Magshimim
יודפת;Yodefat
צורית;Zurit
אכסאל;Iksal
אליקים;Elyaqim
שאר ישוב;She'ar Yashuv
חנתון;Hannaton
